,exchange,pair,selling_start_date,selling_end_date,time_until_filled_largest_order,sell_cost_10000usd,slippage_10000usd,sell_cost_100000usd,slippage_100000usd,sell_cost_1000000usd,slippage_1000000usd,sell_cost_10000000usd,slippage_10000000usd,sell_cost_100000000usd,slippage_100000000usd,sell_cost_10000,sell_cost_100000,sell_cost_1000000,sell_cost_10000000,sell_cost_100000000,slippage_10000,slippage_100000,slippage_1000000,slippage_10000000,slippage_100000000
0,coinbase,btc-usd,2022-01-24 00:00:00,2022-01-24 07:08:03,0 days 07:08:03,,,,,,,,,,,-0.3735326095355298,-23.600317023261645,-961.974906628206,-71351.08168626897,-2231399.9186780355,-3.735326095355298e-05,-0.00023600317023261645,-0.000961974906628206,-0.0071351081686268965,-0.022313999186780353
1,coinbase,eth-usd,2022-01-24 00:00:00,2022-01-24 08:03:20,0 days 08:03:20,,,,,,,,,,,-0.6493072088839535,-46.33692354310166,-3569.5092141532914,-150934.97084197355,-3448227.723923531,-6.493072088839535e-05,-0.0004633692354310166,-0.0035695092141532912,-0.015093497084197353,-0.034482277239235304
2,coinbase,ltc-usd,2022-01-24 00:00:00,2022-01-24 06:55:45,0 days 06:55:45,,,,,,,,,,,0.44535494789433183,-10.094712152245362,-4369.238007883047,-122085.42621623632,-3033736.201259679,4.4535494789433187e-05,-0.00010094712152245362,-0.004369238007883048,-0.01220854262162363,-0.03033736201259679
3,coinbase,uni-usd,2022-01-24 00:00:00,2022-01-24 05:20:13,0 days 05:20:13,,,,,,,,,,,0.0,0.0,76.14406456997577,-90662.68765118795,-3675030.9027050096,0.0,0.0,7.614406456997577e-05,-0.009066268765118795,-0.03675030902705009
4,kraken,btc-usd,2022-01-24 00:00:00,2022-01-24 00:26:50,0 days 00:26:50,,,,,,,,,,,0.0,-17.43335242093251,-247.24476337360804,-22708.741331953384,-685794.9119645442,0.0,-0.0001743335242093251,-0.000247244763373608,-0.002270874133195339,-0.006857949119645442
5,kraken,eth-usd,2022-01-24 00:00:00,2022-01-24 00:16:29,0 days 00:16:29,,,,,,,,,,,-0.9248145451688369,-23.162528426117852,-530.0655543666215,-16702.482820736626,-710397.0452233192,-9.24814545168837e-05,-0.0002316252842611785,-0.0005300655543666214,-0.0016702482820736626,-0.007103970452233192
6,kraken,ltc-usd,2022-01-24 00:00:00,2022-01-24 07:15:47,0 days 07:15:47,,,,,,,,,,,-2.226774739467862,-167.17939582462105,-6164.7843933332115,-129981.8386356289,-3081426.9678498604,-0.00022267747394678618,-0.0016717939582462107,-0.006164784393333211,-0.01299818386356289,-0.030814269678498603
7,kraken,uni-usd,2022-01-24 00:00:00,2022-01-24 20:53:08,0 days 20:53:08,,,,,,,,,,,-1.7511601435941613,-333.69329402949427,-8617.947762485486,-201816.58034451675,-9334170.860114908,-0.00017511601435941614,-0.003336932940294943,-0.008617947762485487,-0.020181658034451676,-0.09334170860114908
