,bitcoin,ethereum,uniswap
10000,-0.00649083699882036,-0.0031001894593238877,-0.006611979648470934
100000,-0.010966851046830373,-0.0040009892913699385,-0.012166077101975703
1000000,-0.053604404270306216,-0.012920253389477776,-0.06447205684709545
10000000,-0.33869515664218064,-0.09404901006684008,-0.3883446428965748
100000000,-0.8351840842035622,-0.5027457033224072,-0.8629166540737421
